pxcor, pycor, elevation, gradient
4,-75,652.4040222167969,0.4579709188780843
95,100,337.1417999267578,0.3892843678458614
67,-66,566.5428161621094,0.36469379078655684
27,90,573.4625854492188,0.4190915084004425
92,-43,430.0590057373047,0.4412493441332183
88,-54,488.64892578125,0.46756112959243823
-85,42,554.8259887695312,0.4880747854323769
91,74,280.69834899902344,0.33707020915490593
16,56,584.4948425292969,0.4514358256037836
-68,90,501.41058349609375,0.4614149034116823
-37,46,594.1558837890625,0.3416201075569657
9,52,628.9651184082031,0.5023180462140734
-10,94,575.7699279785156,0.5415678801129908
-3,99,633.0943298339844,0.6052304331191698
35,41,508.3213195800781,0.32154831702290904
38,-42,626.7252502441406,0.5162056893699205
-29,25,664.5614471435547,0.2717583369069677
-1,81,601.4042053222656,0.3175304097605649
51,-57,582.53759765625,0.3347586882194896
72,17,468.6934356689453,0.5427636580681356
42,83,498.8360137939453,0.3636087227255643
-100,48,479.9976348876953,0.4562350584775611
-71,-83,390.0824279785156,0.22535206442652048
-9,-75,621.3547058105469,0.3443485068132225
89,-44,454.02442932128906,0.4331397691872574
-71,-72,447.57696533203125,0.33397564745820074
47,76,441.8422241210938,0.35999323140707457
-24,-92,490.3931121826172,0.24254317306925383
70,72,363.9648132324219,0.2804828668178304
-57,-66,479.4854431152344,0.3653667707516711
-99,50,489.4723663330078,0.5025570220267531
-64,-3,661.6022033691406,0.4457592655634283
52,47,432.72962188720703,0.37010100791395073
-32,-58,533.4835510253906,0.31670778586763004
-31,36,623.6164855957031,0.23868458805600065
48,11,542.9982604980469,0.4706846386652619
-20,65,558.5548706054688,0.4624065370966432
16,-54,769.5970458984375,0.22989920162486338
-27,-69,542.0228881835938,0.4598113803722996
-27,47,583.0253601074219,0.3402017128436265
-32,99,476.86122131347656,0.4717949646211701
-95,-62,459.5207061767578,0.37600597822257925
-72,-51,579.4117736816406,0.43983506945740924
-60,-3,674.6842041015625,0.4762513115442339
75,7,402.4885711669922,0.41069134877298885
27,-43,698.1570281982422,0.5963988489986767
-1,69,619.2887268066406,0.13751153765737117
-54,-86,456.3121948242188,0.3710847039706377
1,-23,774.9252014160156,0.1082036671642587
33,-35,674.4025268554688,0.48361769390621384
45,-16,530.2256164550781,0.43744465065273985
48,-85,694.9656066894531,0.5330108192049443
78,49,357.95652770996094,0.3832745431073882
-10,-23,743.3636779785156,0.501214834474584
-92,30,479.91356658935547,0.3976486051788838
73,29,483.9942626953125,0.392319317181122
-23,-57,569.9919281005859,0.4657765316370788
-76,75,600.6478881835938,0.3043317728445123
54,-37,546.990234375,0.41404092283254074
-68,80,559.987548828125,0.44401475440418114
-43,-49,534.6288146972656,0.243452567061689
26,-59,711.6312866210938,0.5608627453127393
-59,-73,442.7792053222656,0.3553671619193259
-33,28,668.0981140136719,0.38826467947596577
92,-17,417.87355041503906,0.41289508180704093
-17,54,610.1248474121094,0.4509693869182888
-61,20,634.4691772460938,0.5517679159656104
-37,-96,455.7354431152344,0.25502919729875684
88,98,359.22398376464844,0.3395744829488029
53,73,415.15745544433594,0.2785262077227101
28,-50,676.3407287597656,0.671915374303159
-9,-83,565.2914733886719,0.4303681756196195
50,25,514.2044677734375,0.39918789138432864
-7,8,794.6513671875,0.30142293140795445
2,-4,772.7505645751953,0.665296131763047
69,13,460.1561737060547,0.4991587913818821
32,-45,662.5788879394531,0.5893985291032101
4,-92,605.2357482910156,0.4216327464514508
5,-69,685.3223419189453,0.4484192617375819
32,75,490.0293884277344,0.34117093951133864
-72,-54,554.7796020507812,0.4198664437180859
-22,95,516.4176025390625,0.42399861962555807
-29,-64,526.0921783447266,0.3824966432399154
82,43,393.5999298095703,0.4249238999014706
-86,-71,454.27537536621094,0.3292771102736651
-89,-6,622.1000366210938,0.3962578370832085
40,-66,659.1253204345703,0.44887611760909674
-79,-97,359.16917419433594,0.2735372404369911
29,-62,698.2695617675781,0.5407673758673837
-89,-90,363.69571685791016,0.24857385295500578
12,1,704.2612915039062,0.6452153814643644
-57,-72,446.04718017578125,0.2847158529202991
-55,91,460.7266540527344,0.3511330464385297
-99,-12,678.5482788085938,0.3707886786372393
3,-97,628.6416625976562,0.4874751183478101
69,-86,591.8229370117188,0.4091217745978358
28,99,596.483154296875,0.49902643723775214
-84,17,514.5668334960938,0.34078461486848916
-9,-82,565.2914733886719,0.4303681756196195
-63,-5,669.960693359375,0.46399859173603786
-41,41,628.4429016113281,0.3904663468671395
71,56,361.19693756103516,0.3550000075353012
6,4,766.894775390625,0.5414990344549663
26,-67,728.7030639648438,0.2789964764180901
16,-71,714.6246337890625,0.4501355910196901
11,57,612.85009765625,0.4671052685967432
